Company ,Model,Year,Car Vpn,price
Lamborghini,Countach,1987,KMHTC6AD5FU093894,3278
GMC,Sierra 3500,2002,WA1AY94L68D542160,3454
Kia,Sorento,2006,JTHDU1EF5C5900973,6125
Dodge,Journey,2012,2HNYD2H48DH157393,8767
Subaru,Forester,2006,5N1AN0NW3FN752737,4304
Maybach,62,2003,SCBCU8ZA2AC837170,2222
Chevrolet,Express 3500,1996,5N1AR2MM7DC933333,7402
Holden,Monaro,2004,5N1AZ2MG8FN587472,8601
Toyota,Echo,2005,1FAHP3EN2BW221576,9265
Chevrolet,APV,1992,3D73M4CL7AG404897,5433
Infiniti,G,2010,WBAET37445N291889,8880
Dodge,Intrepid,1999,WBA3C3C57FP311001,5230
Geo,Tracker,1997,5UXKR6C50E0903859,6754
Lincoln,Continental,1984,1G6DE8EY3B0621285,2849
Ford,GT,2005,5NPDH4AE2CH586414,8142
Jaguar,XK,2011,2T1KU4EE9CC257113,7709
Mercedes-Benz,SL-Class,1994,1G4GD5GD9BF654922,7395
BMW,325,2006,2C3CDXCT3FH456650,6131
Mercury,Milan,2011,4T1BF3EK9BU215368,5819
Ford,Explorer,2008,5LMJJ2H55AE362187,7581
Chevrolet,Tahoe,2002,3D73M3HL9BG684004,5835
Chevrolet,Corvette,2008,1HGCP2F36AA333094,7850
Volkswagen,Passat,1991,1N4AL3AP3EC461925,6375
MINI,Clubman,2011,1GYS4AEF9BR071853,9301
GMC,Yukon XL 2500,2002,2C4RDGCG1DR239422,8857
Ford,E-Series,1963,SAJWA1EK2EM897329,9886
Nissan,GT-R,2010,1GYS3DEF0ER309338,3569
Pontiac,Grand Prix,1971,3N1AB6AP5BL992965,2494
Mazda,RX-8,2011,3C6TD4KT1CG809384,3057
Audi,A6,2005,JH4KB16397C930951,4409
Ford,E350,2003,SCBZK25EX1C202204,9029
Volkswagen,Eurovan,2001,3MZBM1K74EM922513,7208
Ford,LTD,1985,WAUWFAFL0CA487017,9592
Volvo,S60,2010,2FMGK5B81DB382125,2976
Toyota,MR2,2000,SAJWJ0EF7E8977084,5749
Lexus,RX,1999,1N4AB7AP0EN324469,3237
Alfa Romeo,164,1992,1FTEW1CW2AF299979,5049
Dodge,Ram Wagon B150,1994,3D7TT2CT8AG394338,2533
Jensen,Interceptor,1966,1J4RR4GG2BC323999,2203
Mercedes-Benz,S-Class,1996,2G4WC532051019652,3346
Saturn,Sky,2007,WAUDF98E98A566021,6412
Kia,Rio,2011,1G6AB5RA8D0244060,2311
Saab,9-7X,2006,2D4JN1AG4BR741237,9268
Ford,Crown Victoria,1992,1HGCR6F37EA289825,2665
Mazda,323,1993,4T1BK1EB2EU552940,7407
Subaru,Impreza,2005,WP0AA2A96ES917577,6079
Dodge,Magnum,2006,1GYS3LKJ6FR261882,3136
Mercedes-Benz,M-Class,1999,WAUJT54B63N388246,7251
Nissan,Sentra,2012,WAUEFAFL0EA176119,2231
Chevrolet,Express 2500,2001,1FADP3E26EL916539,8260
Land Rover,Freelander,2001,WBAVC53537F984444,3008
Ford,Bronco II,1986,1G6DP1E34C0556888,7035
Dodge,Stealth,1992,5N1AR2MMXFC573025,7486
Chevrolet,Express 3500,2010,1HGCR2F30EA925803,8997
Hyundai,Sonata,2008,JM3TB2BA7E0049610,9916
Kia,Sorento,2009,5J8TB4H53GL492662,8750
Tesla,Roadster,2010,2G4WC582591878735,5373
Volvo,XC90,2008,YV126MFC7F1911665,9523
Chevrolet,3500,1994,WBA3V9C5XEP874412,8669
Ford,Crown Victoria,2007,KNALW4D43F6731072,3385
Mazda,Mazdaspeed 3,2007,1G6DV5EP6B0459156,3827
Dodge,Caravan,2004,1NXBU4EE0AZ147627,8541
Jeep,Grand Cherokee,2006,WA1DGAFP9FA870771,5346
Ford,Thunderbird,2004,4JGCB2FE9CA338268,5582
Ford,Club Wagon,1992,1G6DJ577290787256,5084
Lamborghini,Gallardo,2010,3C63DRHL7CG995517,6502
Hummer,H1,1994,1C3CDZBG1EN037461,2450
Chevrolet,Malibu,2003,WBSVA93528E940712,7910
Saturn,VUE,2008,3FA6P0LU9DR487330,7762
Pontiac,Sunfire,2002,3GYFNEE36ES727777,8528
Chevrolet,Aveo,2008,1G6AC5SX2F0722035,2694
Ford,Excursion,2000,JM3KE2BE5F0131018,2795
Mercury,Monterey,2007,WAULFAFR2CA556510,9870
Aston Martin,DB9,2006,1GD22ZCG0CZ149178,2091
Toyota,Matrix,2008,SCBBP9ZA6AC835236,3941
Isuzu,Trooper,1998,1G6KD54Y12U185569,2015
Infiniti,FX,2008,WAURFAFR1CA550594,9118
Ford,F-Series,1987,WBAKG7C55BE893693,4458
Mazda,B-Series,2001,1FTKR1AD9AP615061,6429
GMC,Rally Wagon 2500,1994,5GAKVDED3CJ894184,9720
Dodge,Avenger,2011,3GYFNEE34DS340952,3439
Chrysler,Town & Country,2009,1GD21ZCG7BZ553354,3410
Geo,Prizm,1996,2B3CK9CV7AH760864,7103
Nissan,Altima,2003,JTDKN3DU3F0080041,4450
Pontiac,GTO,1966,1FMCU4K32CK692067,3464
Honda,Odyssey,2002,WAUKF78E27A939796,2036
Ford,Escape,2013,JH4NA21674S317249,7282
Chevrolet,Astro,2000,KL4CJDSB8DB615867,6381
Toyota,4Runner,2011,1FTMF1CW1AK630831,5266
Ferrari,F430 Spider,2006,3FADP0L37AR891754,8729
BMW,3 Series,2001,1N6BF0KL8FN958701,4523
Jaguar,XK,2011,3D4PH5FV9AT449773,4242
BMW,M5,1992,1GYS3AKJ9FR024209,9099
Mercedes-Benz,E-Class,1996,1G6AE5S30E0552800,5937
Ford,F150,2011,5FNRL5H20FB173187,4688
Pontiac,Parisienne,1985,1GYS4HEF0ER424266,8885
Infiniti,Q,2000,3GYFNCE34DS296360,7151
Mercury,Mountaineer,2006,SAJWA4EC0CM994892,9389
Hyundai,Veracruz,2007,JN1CV6AP6CM428393,6073
Lexus,GS,2009,1G6AP5SX1F0872058,5232
Ford,Bronco,1987,WAULL44E15N700103,7663
Mazda,Millenia,2001,WAUWFAFR0DA510026,3339
GMC,Sierra 3500,2001,1GYFK66877R177830,5517
Volvo,S80,2007,JN8AZ2KR8CT454845,2245
Ford,Explorer Sport,2001,1N6AF0LY0EN575792,8115
Nissan,Titan,2007,5N1BA0NE8FN841503,8577
Ford,Windstar,2002,3C4PDCBB5FT874746,9057
Volvo,XC60,2011,SCFEBBBK2DG354336,7863
Chevrolet,Corvette,2012,WVWAN7AN3DE911134,5614
Lamborghini,Countach,1989,WAUKC68D61A266366,8274
Honda,Accord,1996,5TDDK3DC3DS291744,7700
